date,close,volume,open,high,low
8/26/2015,43.05,6213390,45.55,45.7199,40.06
8/25/2015,43.63,4649401,47.82,47.82,43.37
8/24/2015,43.87,10595900,37.11,48.53,34.65
8/21/2015,40.99,13140370,46.1,46.3,40.75
8/20/2015,46.98,2237844,48.6,49.0714,46.58
8/19/2015,49.18,1804972,50,50.6199,48.4
8/18/2015,50.62,1680907,49.55,50.75,49.28
8/17/2015,49.94,2586449,48.7,49.95,47.26
8/14/2015,48.81,2057424,50.01,50.66,47.79
8/13/2015,50.06,2038212,50.25,51.319,49.44
8/12/2015,50.86,5698196,48.5,51.25,46.15
8/11/2015,48.79,3349644,50.58,50.8,48.75
8/10/2015,51.17,3572335,53.02,53.09,50.76
8/7/2015,52.25,6550630,55.22,55.276,50.25
8/6/2015,55.34,4942821,60,60.6,54.51
8/5/2015,60.17,3706906,59.5,61.72,59
8/4/2015,59,2476468,57.78,59.35,57.2
8/3/2015,57.92,2177671,58.17,58.25,56.64
7/31/2015,58,2505462,59.4,59.73,57.5904
7/30/2015,59.58,4137584,59.32,59.9,55.68
7/29/2015,58.05,3385231,56.07,58.22,55.79
7/28/2015,56.03,2087293,54.37,56.06,53.58
7/27/2015,54.69,1390542,53.95,54.88,53.25
7/24/2015,54.62,2259958,55.2,55.75,53.88
7/23/2015,53.67,1888112,55.49,56.1,53.35
7/22/2015,55.36,1545658,55.9,56.44,55.31
7/21/2015,56.2,1832159,56,56.59,55.12
7/20/2015,55.77,4766727,55.01,56.96,53.76
7/17/2015,52.15,1553540,52.8,53.16,51.62
7/16/2015,52.8,1269253,52.81,53.33,52.5172
7/15/2015,52.54,1585969,54.17,54.3239,52.31
7/14/2015,54.26,1753036,53.41,55,53.1
7/13/2015,53.39,1622020,53.31,53.925,52.79
7/10/2015,53,1207207,52.8,53.186,51.98
7/9/2015,51.98,1441840,52.53,53.08,51.7
7/8/2015,51.48,1842979,52.35,52.9,50.92
7/7/2015,53.21,2978390,51.74,53.37,50.84
7/6/2015,51.75,1608260,51.5,52.19,51.11
7/2/2015,52.27,1730489,52.47,52.672,51.05
7/1/2015,52.4,2668223,53.77,54.21,52.07
6/30/2015,53.55,2191037,53.52,54.1999,52.29
6/29/2015,53.27,3162267,54.7,55.42,52.48
6/26/2015,55.86,2760369,56.71,56.71,55.4
6/25/2015,56.36,1454933,57.2,57.3399,56.16
6/24/2015,57.01,1340603,58.05,58.1,56.9
6/23/2015,58.1,2114750,57.65,58.4,57.2074
6/22/2015,57.7,1263977,57.86,58.16,57.05
6/19/2015,57.51,1388548,58.04,58.04,57.08
6/18/2015,57.78,1324521,57.6,57.95,57.05
6/17/2015,57.4,1990225,57.4,57.96,56.84
6/16/2015,56.78,2421353,55.5,57,55.24
6/15/2015,55.2,1752135,54.84,55.5,54.14
6/12/2015,55.175,1645238,55.21,56.21,55.13
6/11/2015,55.46,1560010,55.26,55.7899,54.8
6/10/2015,55,1842198,55.16,55.66,54.5
6/9/2015,54.9,2756257,56.56,56.97,54.57
6/8/2015,56.57,2924788,58.26,58.5,55.64
6/5/2015,58.25,1687872,58.31,58.7199,57.55
6/4/2015,58.53,2072219,60,60.5,58.17
6/3/2015,60.33,1586320,60.61,61.5,60.05
6/2/2015,60.61,1749757,60.36,61.57,59.59
6/1/2015,60.68,1899824,60.55,61.34,59.25
5/29/2015,60.12,1992156,61.98,62.16,60.03
5/28/2015,61.89,1789495,61.3,62.68,60.75
5/27/2015,61.44,1586818,61.4,61.66,60.46
5/26/2015,61.33,1541629,62.5,62.59,61.29
5/22/2015,62.59,2148253,61.88,63.12,61.8025
5/21/2015,62.11,2680809,61.17,62.85,61.17
5/20/2015,61.26,1295036,61.16,61.4734,60.4
5/19/2015,61.33,1690575,62.03,62.3947,60.9
5/18/2015,62.07,5656088,62.5,62.85,61.35
5/15/2015,62.51,1954485,62.62,63.79,62.24
5/14/2015,62.72,2245043,62.3,62.78,61.1
5/13/2015,61.68,1965386,62.2,62.35,61.02
5/12/2015,61.51,2051952,60.68,62.22,60.68
5/11/2015,61.17,2410820,62.2,62.84,61.09
5/8/2015,61.21,2998911,61.58,61.95,59.92
5/7/2015,60.9,2432697,59.51,60.95,59.19
5/6/2015,60.13,4615222,58.48,61.65,58.1
5/5/2015,59.28,4058093,60.97,62.14,58.69
5/4/2015,61.04,4107245,60.45,61.45,59.32
5/1/2015,61.62,3145826,60.8,61.76,60.08
4/30/2015,60.05,2324266,61,61.33,59.495
4/29/2015,61.17,2380534,61.15,61.48,59.59
4/28/2015,61.225,2853476,60.11,61.9,59.76
4/27/2015,59.9,2790641,60.1,61.97,59.71
4/24/2015,60,1418599,60.39,60.4,59.5
4/23/2015,60.02,2817492,59.49,60.49,59.36
4/22/2015,59.09,4912647,57.88,60.5,57.8
4/21/2015,57.69,2070008,56.69,57.71,56.24
4/20/2015,56.53,1456615,56.34,56.73,55.38
4/17/2015,55.91,1973974,56.5,56.9,55.223
4/16/2015,57.01,1927880,56.34,57.5,56.25
4/15/2015,56.55,2393274,55.73,56.8,54.82
4/14/2015,55.1,3283033,54.55,55.38,53.37
4/13/2015,54.74,3608927,56.09,56.5299,54.47
4/10/2015,56.09,3427585,56.3,56.79,55.31
4/9/2015,56.05,5008475,54.97,56.15,54.53
4/8/2015,54.33,3817254,53.05,54.8,52.91
4/7/2015,52.77,2951668,52.8,54.2,52.59
4/6/2015,52.8,2750813,51.99,53.34,51.75
4/2/2015,52.31,3754345,50.23,52.77,50.2
4/1/2015,50.48,1694386,50.91,51.29,50
3/31/2015,51.28,3643729,50.09,52.54,49.86
3/30/2015,50.57,3744534,50.12,51.83,49.19
3/27/2015,50.17,1024398,50.15,50.73,49.72
3/26/2015,50.08,1432909,50.03,50.22,49.03
3/25/2015,50.53,1559568,51.33,51.86,49.85
3/24/2015,51.5,2910582,49.57,51.65,49.56
3/23/2015,49.78,1267869,49.71,50.605,49.201
3/20/2015,49.89,1341137,50,50.25,49.5645
3/19/2015,49.76,1019316,50,50.44,49.67
3/18/2015,50.21,1956230,48.55,50.28,48.44
3/17/2015,48.815,1641428,47.36,49.29,47.31
3/16/2015,47.53,3020621,48.5,48.7047,46.69
3/13/2015,48.39,2508379,49.43,49.75,48.14
3/12/2015,49.7,1784124,50.1,50.555,49.64
3/11/2015,50,1822522,49.69,50.87,49.55
3/10/2015,49.72,2113293,49.3,50.58,49.2
3/9/2015,49.83,2217101,50.4,51.04,49.15
3/6/2015,50.45,2681408,51.71,52.5899,50.335
3/5/2015,51.77,4698141,50.35,52.16,50.01
3/4/2015,50.05,1651153,50,50.48,49.3
3/3/2015,50.26,1983489,50.49,51.62,50
3/2/2015,50.74,2313254,51.2,51.65,50.23
2/27/2015,51.36,2059141,52.33,52.57,51.18
2/26/2015,52.1,2833228,53.62,54.08,52.05
2/25/2015,52.28,2922266,53.05,53.5,52.15
2/24/2015,53.04,4504241,53.97,56.5,52.93
2/23/2015,53.13,2186839,54.09,54.348,52.68
2/20/2015,54.44,2897357,53.94,54.6,53.05
2/19/2015,53.81,8239685,54.4,54.85,51.76
2/18/2015,57.1,4551131,57.65,59.1,56.5175
2/17/2015,58.12,2774840,58.45,59.31,57.43
2/13/2015,57.6,1897037,57.39,59.09,57.19
2/12/2015,57.16,2251570,56.32,57.45,56.06
2/11/2015,56.12,1300756,55.77,56.55,55.34
2/10/2015,55.84,1597377,56.63,56.79,55.03
2/9/2015,56.52,1382161,55,56.696,55
2/6/2015,55.42,1726173,55.12,56.45,54.84
2/5/2015,55.28,1931592,53.42,55.7,53.42
2/4/2015,53.37,1879904,53.67,55.5,53.2
2/3/2015,54.27,2567093,53.01,54.37,52.35
2/2/2015,52.72,4575348,48.93,53.8,48.75
1/30/2015,48.61,1200936,48.59,49.79,48.47
1/29/2015,49.395,1230323,49.15,49.45,47.6801
1/28/2015,49.08,1441120,50.6,50.88,48.79
